Username,recipeLabel,webLink,calories,fat_quantity,protein_quantity,yield,time
test1,Cook the Book: Farmhouse Bacon Cheeseburgers,http://www.seriouseats.com/recipes/2010/06/farmhouse-bacon-cheeseburgers-spikes-good-stuff-recipe.html,1609,138,51,6,0
test1,TACO PIZZA Recipe,http://www.grouprecipes.com/103658/taco-pizza.html,723,39,34,6,40
test1,Pork Tenderloin Sweet Potato Tacos with Chipotle Sour Cream,https://tastykitchen.com/recipes/main-courses/pork-tenderloin-sweet-potato-tacos-with-chipotle-sour-cream/,1326,55,68,5,65
test3,Monster BLT,http://thepioneerwoman.com/cooking/2012/05/monster-blt/,732,67,19,2,0
test3,Mac & Cheese Bun Burgers,https://www.delish.com/cooking/recipe-ideas/recipes/a54710/mac-and-cheese-bun-burgers-recipe/,1245,83,36,4,220
test3,"Micki's Turkey, Cranberry, and Cream Cheese Comfort Sandwich",https://food52.com/recipes/6877-micki-s-turkey-cranberry-and-cream-cheese-comfort-sandwich,164,8,13,6,0
test3,The Fake Shack (or the Shack Burger at Home) Recipe,http://www.seriouseats.com/recipes/2009/10/the-fake-shack-shake-shack-burger-recipe.html,760,52,33,4,0
test3,Lentil Salad with Feta Cheese and Walnut Oil,http://www.cookstr.com/recipes/lentil-salad-with-feta-cheese-and-walnut-oil,239,9,11,10,15
test3,Low-fat Caesar salad,http://www.bbc.co.uk/food/recipes/low-fat_caesar_salad_38342,376,13,15,4,60
test3,Cheeseburger Stuffed Baked Potatoes,http://www.eatingwell.com/recipe/275787/cheeseburger-stuffed-baked-potatoes/,403,22,15,4,25
test3,"Asian Pear and Goat Cheese Salad, with Sweet and Tangy Dressing",https://food52.com/recipes/1708-asian-pear-and-goat-cheese-salad-with-sweet-and-tangy-dressing,177,10,4,4,0
test3,"Bread Baking: Tomato, Cheese, and Bacon Bread Recipe",https://www.seriouseats.com/recipes/2011/01/bread-baking-tomato-cheese-and-bacon-bread.html,242,9,8,10,180
test3,Grilled Chicken Pan Bagnat,https://www.epicurious.com/recipes/food/views/grilled-chicken-pan-bagnat-106964,664,33,27,8,0
test3,Monster BLT,http://thepioneerwoman.com/cooking/2012/05/monster-blt/,732,67,19,2,0
kiko713,3-Ingredient Cranberry-Brie Bites,http://www.eatingwell.com/recipe/268041/3-ingredient-cranberry-brie-bites/,60,3,1,24,35
kiko713,Melting Goat's Cheese & Chutney Tarts,http://www.bbcgoodfood.com/recipes/5909/,442,25,9,8,0
kiko713,French in a Flash: Carrot and Brie Puffs Recipe,http://www.seriouseats.com/recipes/2010/10/french-in-a-flash-carrot-and-brie-puffs-recipe.html,43,3,1,22,0
kiko713,"One-Pot Pasta Recipe: Linguine with Roasted Red Peppers, Tomatoes & Brie",http://www.thekitchn.com/one-pot-pasta-linguine-with-roasted-red-peppers-sundried-tomatoes-brie-recipes-from-the-kitchn-194700,559,19,24,4,0
kiko713,"Grilled Pizzas with Leeks, Asparagus, and Mushrooms",https://www.marthastewart.com/1154962/grilled-pizzas-leeks-asparagus-and-mushrooms,247,10,9,6,0
kiko713,"Spicy, Creamy Pasta for Two",https://food52.com/recipes/80983-spicy-creamy-pasta-for-two,377,16,20,2,20
kiko713,French Mountain Glory,http://www.thedailymeal.com/french-mountain-glory-recipe,753,52,35,4,0
kiko713,French in a Flash: Truffled Macaroni Gratin Recipe,http://www.seriouseats.com/recipes/2009/12/truffled-macaroni-and-cheese-gratin-recipe.html,1148,62,40,4,0
kiko713,Ploughman’s rolls,http://www.bbcgoodfood.com/recipes/1853674/ploughmans-rolls,295,10,12,8,62
kiko713,Spring Recipe: Creamy Parmesan Dip,http://www.thekitchn.com/entertaining-recipe-creamy-parmesan-dip-recipes-from-the-kitchn-187441,1754,187,13,2,0
kiko713,Cajun Chicken Sandwiches with Mango Dressing,https://food52.com/recipes/17371-cajun-chicken-sandwiches-with-mango-dressing,555,13,71,4,0
kiko713,The Secret Ingredient (Ginger Jam): Sweet Ginger Seared Tuna Recipe,http://www.seriouseats.com/recipes/2011/06/the-secret-ingredient-ginger-jam-sweet-ginger-tuna-recipe.html,75,1,9,4,60
kiko713,Tuna Burgers with a Wasabi Kick,http://www.cookstr.com/recipes/tuna-burgers-with-a-wasabi-kick,336,11,33,6,60
kiko713,Tuna Poke (Hawaiian Raw-Tuna Salad) Recipe,http://www.seriouseats.com/recipes/2016/06/ahi-poke-hawaiian-raw-tuna-salad-recipe.html,132,2,15,6,15
kiko713,"Amatriciana Burgers With Tomato-Onion Jam, Bacon, and Pecorino Romano Crisps Recipe",http://www.seriouseats.com/recipes/2014/07/amatriciana-burger-recipe.html,752,33,58,4,40
kiko713,Shrimp Topped Burger with Horseradish Dressing,https://grumpyshoneybunch.com/2018/05/shrimp-topped-burger-horseradish-dressing.html,670,47,31,4,0
zdoubi,"Dinner Tonight: Breakfast Sausage, Home Fries, and Eggs Recipe",http://www.seriouseats.com/recipes/2010/06/breakfast-sausage-home-fries-eggs-recipe.html,527,36,25,4,0
zdoubi,Campfire Breakfast Hash,https://www.marthastewart.com/1548823/gregs-campfire-breakfast-hash,233,16,7,6,40
zdoubi,Indian Spiced Leftover Summer Vegetable Fritters,https://food52.com/recipes/23313-indian-spiced-leftover-summer-vegetable-fritters,70,2,2,6,0
zdoubi,Cook the Book: Tuna-Stuffed Hard-Boiled Eggs,http://www.seriouseats.com/recipes/2010/05/cook-the-book-tuna-stuffed-hard-boiled-eggs.html,161,10,11,8,0
zdoubi,Spanish Omelette,http://www.goodhousekeeping.com/food-recipes/a10856/spanish-omelette-recipe-rbk0411/,354,21,18,4,30
zdoubi,Recipe: Classic Salad Niçoise,http://www.thekitchn.com/recipe-salad-nicoise-recipes-from-the-kitchn-190232,463,22,38,4,0
zdoubi,Chicken Salad Niçoise,http://www.cookstr.com/recipes/chicken-salad-niccediloise,406,26,19,6,30
zdoubi,Slow-Cooker Overnight Breakfast Casserole,http://www.thedailymeal.com/recipes/slow-cooker-overnight-breakfast-casserole-recipe,358,23,20,12,0
zdoubi,Obe Ata (Nigerian Red Pepper Sauce) Recipe,https://www.seriouseats.com/recipes/2020/03/obe-ata-nigerian-red-pepper-sauce.html,141,10,7,48,180
zdoubi,Light and Easy Nicoise Salad,https://www.marthastewart.com/1163182/light-and-easy-nicoise-salad,215,5,19,6,0
zdoubi,Miso Soup Potato Chips Recipe,http://www.seriouseats.com/recipes/2015/01/miso-soup-potato-chips-recipe.html,91,1,4,1,5
zdoubi,Why We’re Afraid To Cook + Salad Olivier,http://smittenkitchen.com/2008/07/why-were-afraid-to-cook-salad-olivier/,585,36,10,4,0
zdoubi,Summer Potato Salad With Minty Dijon Mayo,http://www.bbcgoodfood.com/recipes/2105/,488,37,7,8,0
zdoubi,Gluten-Free Sponge Cake,https://food52.com/recipes/27584-gluten-free-sponge-cake,190,3,4,8,0
zdoubi,Five-Ingredient Pimenton Potato & Egg Sandwich recipes,http://www.biggirlssmallkitchen.com/2014/08/five-ingredient-pimenton-potato-egg-sandwich.html,624,26,20,1,30
zdoubi,Salt-and-Vinegar Potato Chips,https://www.epicurious.com/recipes/food/views/salt-and-vinegar-potato-chips-367719,192,15,1,8,0
zdoubi,12 Ingredient Leek & Potato Soup,http://honestcooking.com/12-ingredient-leek-potato-soup-recipe/,383,13,16,4,90
zdoubi,3 Ingredient Sweet Potato Pizza Crust recipes,http://pinchofyum.com/sweet-potato-pizza-crust,245,10,7,2,50
zdoubi,Kale & Potato Hash,http://www.eatingwell.com/recipe/249055/kale-potato-hash/,178,10,3,4,35
zdoubi,Latke Cups,http://www.delish.com/cooking/recipe-ideas/recipes/a44869/latke-cups/,255,2,8,6,0
zdoubi,"Recipe: Freezer-Friendly Potato, Chorizo, and Cheesy Egg Burritos",http://www.thekitchn.com/recipe-freezer-friendly-potato-chorizo-and-cheesy-egg-burritos-234086,588,44,35,12,0
zdoubi,Crunchy-Shell Cauliflower Tacos,https://food52.com/recipes/76795-crunchy-shell-cauliflower-tacos,188,13,6,8,50
zdoubi,Hand Pies with Curried Beef & Peas,http://www.eatingwell.com/recipe/279028/hand-pies-with-curried-beef-peas/,549,27,25,6,45
zdoubi,Chicken and Mushroom Quesadillas with Carrot and Mango Slaw,https://www.epicurious.com/recipes/food/views/chicken-and-mushroom-quesadillas-with-carrot-and-mango-slaw,792,44,50,4,0
zdoubi,Baked Steak Fries with Melted Cheese and Cilantro Dipping Sauce,http://www.foodista.com/recipe/M8FH2744/baked-steak-fries-with-melted-cheese-and-cilantro-dipping-sauce,257,9,8,12,0
zdoubi,Loaded Baked Potato Pizza,https://tastykitchen.com/recipes/main-courses/loaded-baked-potato-pizza-2/,497,26,17,8,85
zdoubi,Cuban Crushed Potatoes,http://www.bigoven.com/recipe/Cuban-Crushed-Potatoes/174810,140,6,4,4,30
zdoubi,Best Breakfast Burrito,http://www.foodista.com/recipe/WLQNMQ5B/best-breakfast-burrito,680,34,24,4,0
zdoubi,Pork Tenderloin Sweet Potato Tacos with Chipotle Sour Cream,https://tastykitchen.com/recipes/main-courses/pork-tenderloin-sweet-potato-tacos-with-chipotle-sour-cream/,1326,55,68,5,65
zdoubi,Zesty Cauliflower Au Gratin,https://tastykitchen.com/recipes/sidedishes/zesty-cauliflower-au-gratin/,191,12,11,6,30
